image;id;name;name2;description;price;url;category;forever_url
https://iglika.me/products_img/Product_details_JPG/1000b.jpg;1000;Forever Aloe Vera Gel;Гел от Алое Вера;Със съдържание на над 99,7% чист гел от вътрешността на листата на алое вера Барбаденсис, който се грижи за храносмилателната система.;59.54 лв.;1000.html;Напитки;https://thealoeveraco.shop/MVdz18Km
https://iglika.me/products_img/Product_details_JPG/1001b.jpg;1001;Forever Aloe Mango;Алое Манго;Подкрепете храносмилателната система и се насладете на невероятния манго вкус!;59.54 лв.;1001.html;Напитки;https://thealoeveraco.shop/8YzEnKW4
https://iglika.me/products_img/Product_details_JPG/1075b.jpg;1075;Forever Aloe Peaches;Алое и праскови;Подобрете храносмилането си със силата на алоето и се насладете на вкуса на сладки и сочни праскови.;59.54 лв.;1075.html;Напитки;https://thealoeveraco.shop/ZfyOdxvY
https://iglika.me/products_img/Product_details_JPG/1082b.jpg;1082;Forever M?R;Форевър МООР;оревър МООР е следващата стъпка в еволюцията на сутрешното ви кафе, издигайки го до ново ниво с уникална комбинация от B витамини и таурин.;55.51 лв.;1082.html;Напитки;https://thealoeveraco.shop/LWYOApb6
https://iglika.me/products_img/Product_details_JPG/1002b.jpg;1002;Forever Aloe Berry Nectar;Алое Бери Нектар; 90,7% чист гел от алое вера плюс натурални плодови концентрати за подкрепа на вашето здраве!;59.54 лв.;1002.html;Напитки;https://thealoeveraco.shop/NpYCZ0rn
https://iglika.me/products_img/Product_details_JPG/1003b.jpg;1003;Aloe Vera Gel TriPack;Гел от Алое Вера ТриПак;Троен пакет Гел от Алое Вера!;178.61 лв.;1003.html;Напитки;https://thealoeveraco.shop/QKf7H3DK
https://iglika.me/products_img/Product_details_JPG/1004b.jpg;1004;Forever Aloe Peach TriPak;Алое Праскова ТриПак;Троен пакет Алое Праскова!;178.61 лв.;1004.html;Напитки;https://thealoeveraco.shop/KA3yqWyj
https://iglika.me/products_img/Product_details_JPG/1005b.jpg;1005;Aloe Berry Nectar TriPak;Алое Бери Нектар ТриПак;Троен пакет Алое Бери нектар!;178.61 лв.;1005.html;Напитки;https://thealoeveraco.shop/lh6O4vjr
https://iglika.me/products_img/Product_details_JPG/1084b.jpg;1084;Aloe Drinks TriPack;ТриПак - алое напитки; В пакета получавате ГЕЛА ОТ АЛОЕ ВЕРА заедно с АЛОЕ И ПРАСКОВИ и АЛОЕ БЕРИ НЕКТАР с неговия свеж и богат на антиоксиданти вкус, подкрепящ нормалното храносмилане. ;178.61 лв.;1084.html;Пакети;https://thealoeveraco.shop/m2owhXTK
https://iglika.me/products_img/Product_details_JPG/1006b.jpg;1006;Forever Aloe Vera Gel mini;Гел от Алое Вера мини;Със съдържание на над 99,7% чист гел от вътрешността на листата на алое вера Барбаденсис, който се грижи за храносмилателната система. Сега в мини опаковка 12 броя х 330мл!;238.12 лв.;1006.html;Напитки;https://thealoeveraco.shop/4RvdUmOy
https://iglika.me/products_img/Product_details_JPG/1007b.jpg;1007;Forever Aloe Peaches mini;Алое Праскови мини;84,5% чист гел от алое вера, допълнен с натурално пюре и аромат на праскови! Сега в мини опаковка 12 броя х 330мл!;238.12 лв.;1007.html;Напитки;https://thealoeveraco.shop/u1fGIlIO
https://iglika.me/products_img/Product_details_JPG/1008b.jpg;1008;Forever Aloe Berry Nectar mini;Алое Бери Нектар мини;90,7% чист гел от алое вера плюс натурални плодови концентрати за подкрепа на вашето здраве! Сега в мини опаковка 12 броя х 330мл!;238.12 лв.;1008.html;Напитки;https://thealoeveraco.shop/F050J9YB
https://iglika.me/products_img/Product_details_JPG/1009b.jpg;1009;Forever Freedom;Форевър Фрийдъм; Този напитка се гордее с висока концентрация от 89% чист гел от алое вера, който спомага за подкрепата на естествените защитни функции на нашето тяло.;81.36 лв.;1009.html;Напитки;https://thealoeveraco.shop/4gEsZLz7
https://iglika.me/products_img/Product_details_JPG/1076b.jpg;1076;FAB X Forever Active Boost;ФАБ Х Форевър актив бууст;Поемете контрол върху деня си с ФАБ Х.;8.58 лв.;1076.html;Напитки;https://thealoeveraco.shop/6jiYdjhY
https://iglika.me/products_img/Product_details_JPG/1010b.jpg;1010;Aloe Blossom Herbal Tea;Билков чай с цветчета от Алое;Безкофеинова смес от листа, билки и подправки, която може да се консумира гореща или охладена.;40.06 лв.;1010.html;Напитки;https://thealoeveraco.shop/CoHf1JAe
https://iglika.me/products_img/Product_details_JPG/1011b.jpg;1011;FAB Forever Active Boost;ФАБ- Енергийна напитка;FAB Forever Active Boost е богат на витамини B2, B3, B6 и B12. Помага за поддържането на нормалната функция на имунната система и намалява умората.;8.58 лв.;1011.html;Напитки;https://thealoeveraco.shop/lI9qE166
https://iglika.me/products_img/Product_details_JPG/1012b.jpg;1012;"Fields of Greens
";Зелени поля;"Fields of Greens е отличен източник на ""зелена храна"" и антиоксиданти.";27.48 лв.;1012.html;Добавки;https://thealoeveraco.shop/DwSQvpU8
